image;title;author;format;duzy_rozmiar;maly_rozmiar;kategoria;cena_duzy;cena_maly;ilosc(quantity)
https://as1.ftcdn.net/jpg/03/16/77/92/500_F_316779299_vHNExRo9jKBDIeMF83ZCrBYOIcf3IxK3.jpg;Northern lights in Iceland;Iceland in Photos;jpeg;4647x3093;1690x1125;Niebo;1120.99;538.99;14
https://as1.ftcdn.net/jpg/01/90/59/26/500_F_190592618_feogbeDGFJUTOh213zL5LleOBoBG6bpb.jpg;Aurora borealis landscape;Nydia Lilian;jpeg;5710x4282;1592x1194;Niebo;1120.99;538.99;101
https://as1.ftcdn.net/jpg/02/81/51/38/500_F_281513828_q3GpZC0dmFOVUt5sQGVvgEYteRlj3iBj.jpg;Commercial truck driving on road during night;Mint Images;jpeg;5145x3400;1696x1121;Niebo;1120.99;538.99;65
https://as1.ftcdn.net/jpg/02/28/56/84/500_F_228568452_pUgjWoNoJz2d9ajqLmkUWurCcXXNU2UA.jpg;Wild flowers under new moon  Cavalcante  Brazil;Marcio Cabral\360Cities;jpeg;12288x6144;1949x975;Niebo;2240.99;1120.99;41
https://as1.ftcdn.net/jpg/03/77/18/36/500_F_377183679_LZQoLSUq5AsMQQCEoFRDqYi017HsGGLR.jpg;Sunset city view with historical building;Carey Shaw\Stocksy;jpeg;4193x2795;1688x1125;Niebo;1120.99;538.99;45
https://as1.ftcdn.net/jpg/02/45/20/32/500_F_245203276_88ICgH3FgT3ddbTkNltVLeGi3H8tHo5F.jpg;Illuminated log cabin in forest at night during winter;Tiina T\u00f6rm\u00e4nen;jpeg;6720x4480;1688x1125;Niebo;2240.99;1120.99;17
https://as1.ftcdn.net/jpg/03/75/20/64/500_F_375206465_Kz9Up8KLAqDAorpWUoZyAqtdYL08aWnk.jpg;Cityscape - Vit\u00d4\u00f8\u03a9_ria  Brazil - Nightlights and Trails on the Sunset;Yuri Barichivich\Stocksy;jpeg;4256x2832;1690x1124;Niebo;1120.99;538.99;17
https://as2.ftcdn.net/jpg/03/80/75/25/500_F_380752527_ApkuPA5BOqwP4BFv7NlGC1tyd7pFavJb.jpg;Scenic view of milky way in sky over couple standing on hill at night;Javier Martinez\ADDICTIVE STOCK;jpeg;5598x3767;1680x1131;Niebo;1120.99;538.99;25
https://as1.ftcdn.net/jpg/03/88/88/74/500_F_388887424_6R6XGds2XKFp28wd6rceY1xoSiPLQGBM.jpg;Northern lights shine in the sky over a village house;Sergey Lukankin\Stocksy;jpeg;5544x4200;1584x1200;Niebo;1120.99;538.99;36
https://as2.ftcdn.net/jpg/03/85/81/57/500_F_385815763_QQPi2BYEgBBQKsSGw22eEhI5zRr1uOfB.jpg;Scenic view of milky way over Sierra Nevada in California;Tandem Stock;jpeg;5472x7079;1212x1568;Niebo;1120.99;538.99;48
https://as2.ftcdn.net/jpg/03/02/28/69/500_F_302286944_jfNyeArCw8Gqz6fGuI2IxjWdBcOw7mEg.jpg;View of car driving on road against starry sky;Cavan Images;jpeg;2826x4912;1046x1817;Niebo;1120.99;538.99;38
https://as1.ftcdn.net/jpg/02/81/29/12/500_F_281291297_cuZUNpKhpMsC1HeLuSPcHXcTarEVFA7i.jpg;View of illuminated road passing through mountain at night;Westend61;jpeg;7500x5626;1592x1194;Niebo;2240.99;1120.99;16
https://as1.ftcdn.net/jpg/03/75/20/96/500_F_375209668_E3dQVvHcYZvb4NdSsjG9S1SzMDaOULGZ.jpg;Star trails over the northern sky on a beach.;Helen Sotiriadis\Stocksy;jpeg;5472x3648;1688x1125;Niebo;1120.99;538.99;42
https://as1.ftcdn.net/jpg/02/12/19/64/500_F_212196429_zTQTPsIHvRyv0cg4nK0p4VcKqCO2VHmL.jpg;Milkyway on Dolomites  Italy;Paolo;jpeg;6016x4016;1687x1126;Niebo;1120.99;538.99;83
https://as1.ftcdn.net/jpg/03/90/21/94/500_F_390219438_6P0pTrtkV4K0vRoSeoRWa23uaBkWf7Qb.jpg;Vieste  Italy;Addie Mannan Photography\Stocksy;jpeg;4133x2755;1688x1125;Niebo;1120.99;538.99;46
https://as2.ftcdn.net/jpg/03/56/52/09/500_F_356520982_Xkv3P6bGDOq2rjDR2pZkXETOeaXeWMXu.jpg;From below of silhouette of traveler standing on rough rock and looking through telescope while enjoying stunning view of amazing starry sky with breaking rays of rising sun;Juan Lopez\ADDICTIVE STOCK;jpeg;5872x3920;1687x1126;Niebo;1120.99;538.99;83
