id;image;title;author;format;nazwa;rozmiary;kategoria;cena_duzy;cena_maly;ilosc(quantity)
434;https://as2.ftcdn.net/jpg/02/81/10/29/500_F_281102904_7XZAsG8n0Fe8XJydVBQT6OuKxJbIOcjM.jpg;Leaf Macro Texture;Eldad Carin Ltd.\Stocksy;jpeg;Rozmiar;5616x3744,1688x1125;Makro;1120.99;538.99;67
435;https://as2.ftcdn.net/jpg/02/27/60/87/500_F_227608754_IjaeAAkAISYHZhOrjMBa3pYmYn1zj69r.jpg;a pink and purple clematis;alanshapiro\Stocksy;jpeg;Rozmiar;3573x5359,1126x1688;Makro;1120.99;538.99;24
436;https://as1.ftcdn.net/jpg/02/32/61/30/500_F_232613037_Y8SHx7yux1ktWcHfe4YbJAPpDBMtW3tu.jpg;daisy in bloom;Stocksy;jpeg;Rozmiar;3686x4607,1233x1541;Makro;1120.99;538.99;55
437;https://as2.ftcdn.net/jpg/03/85/16/57/500_F_385165710_zeec7LmawOnLKG7pYds2QEFtGIZ4NnHD.jpg;micrograph plant cells of woody dicot stem;Pansfun Images\Stocksy;jpeg;Rozmiar;7952x5304,1688x1126;Makro;1120.99;538.99;11
438;https://as1.ftcdn.net/jpg/03/78/20/66/500_F_378206674_dp29Y3lGW9LR6yOjcgBUmycJFaKQsFMM.jpg;Curling Birch Bark;Mark Windom\Stocksy;jpeg;Rozmiar;4684x3123,1688x1126;Makro;1120.99;538.99;14
439;https://as2.ftcdn.net/jpg/02/70/67/53/500_F_270675359_Bt6nIylap5QIPB4blJvml7NhuleG0CC2.jpg;Detail of wasp on the plants;Javier Pardina\Stocksy;jpeg;Rozmiar;2868x4300,1126x1688;Makro;1120.99;538.99;68
440;https://as1.ftcdn.net/jpg/02/98/10/02/500_F_298100206_mUh3b9YppCmTmsaDTxT5It6SF6LEWu98.jpg;Closeup magnified part of black and brown ant with glossy head and legs;Pablo Bou\ADDICTIVE STOCK;jpeg;Rozmiar;5497x3665,1688x1126;Makro;1120.99;538.99;26
441;https://as1.ftcdn.net/jpg/03/18/18/36/500_F_318183692_dixGsc4eteEmbAGuYRCimWmoZ9KOjaBC.jpg;Close-Up Of Human Eye;christian zenner\EyeEm;jpeg;Rozmiar;4928x2100,2112x900;Makro;1120.99;538.99;90
442;https://as2.ftcdn.net/jpg/02/20/83/95/500_F_220839555_D5gLprS1Ircmux7JVQ0AxJUQ83ytMoaQ.jpg;Mantis on a flower  Indonesia;RooM The Agency;jpeg;Rozmiar;3456x5184,1125x1688;Makro;1120.99;538.99;45
443;https://as2.ftcdn.net/jpg/02/23/60/69/500_F_223606926_muivrl9e8C1pJlGbCdogpAzAVG6aUyy6.jpg;Close-up of insect on white flowers;Cavan Images;jpeg;Rozmiar;4865x3310,1671x1137;Makro;1120.99;538.99;10
444;https://as2.ftcdn.net/jpg/02/37/30/47/500_F_237304747_zWVaWlf8lidxEplJ9HMd625TUsfO5zJv.jpg;Macro of orchid flower\r\n;ChaoShu Li\Stocksy;jpeg;Rozmiar;5469x3646,1688x1125;Makro;1120.99;538.99;22
445;https://as2.ftcdn.net/jpg/02/14/86/85/500_F_214868576_db9BRRWDZMsTivXnaiPK2F9xlHuPqdLJ.jpg;Scales  Rusty parrotfish (Scarus ferrugineus)  Red Sea  Egypt  Africa;imageBROKER;jpeg;Rozmiar;5616x3744,1688x1125;Makro;1120.99;538.99;104
446;https://as1.ftcdn.net/jpg/02/59/25/04/500_F_259250404_IfUmQ9LIxZehPiwbFZqsaoyVoiAVKTMS.jpg;Macro of white and green flower petals;Kerry Murphy\Stocksy;jpeg;Rozmiar;5184x3456,1688x1125;Makro;1120.99;538.99;23
447;https://as2.ftcdn.net/jpg/03/90/21/79/500_F_390217913_UD1yoaDRjP5o9aPZSzINnLPxCIbSyQkI.jpg;Closeup of lettuce;Alexis Courtney\Stocksy;jpeg;Rozmiar;5760x3840,1688x1125;Makro;1120.99;538.99;72
448;https://as1.ftcdn.net/jpg/02/11/00/22/500_F_211002263_2IDZC3zsXWqktkf2mR9kni6OXJIE9nu1.jpg;Dahlia on plain background  orange;Bettina Gueber;jpeg;Rozmiar;4000x6000,1125x1688;Makro;1120.99;538.99;95
