image;title;author;format;duzy_rozmiar;maly_rozmiar;kategoria;cena_duzy;cena_maly;ilosc(quantity)
https://as2.ftcdn.net/jpg/02/70/67/79/500_F_270677913_a7h6DCNVpfxNJdqkX2wLoucAFvhPXWJx.jpg;Agua Nueva Agate;Marilar Irastorza\Stocksy;jpeg;6000x4000;1688x1125;Makro;1120.99;538.99;19
https://as1.ftcdn.net/jpg/02/59/24/58/500_F_259245858_Jd7k0xUohhpCQWDCHdKEdaKxvcniL7gV.jpg;Detail of flowers and plants with waterdrops;Javier Pardina\Stocksy;jpeg;7952x5304;1688x1126;Makro;1120.99;538.99;26
https://as1.ftcdn.net/jpg/03/13/07/10/500_F_313071093_Cu4SwSpWV4u1GgRCSYC704KYY0FHXmua.jpg;Flower arrangement  white on dark background;Bettina Gueber;jpeg;6000x4000;1688x1125;Makro;2240.99;1120.99;3
https://as2.ftcdn.net/jpg/03/09/44/75/500_F_309447519_JzvrTC5qov75yTWjg6LaKusdiQ8YNf0X.jpg;clivia;ALAN SHAPIRO\Stocksy;jpeg;6192x8256;1194x1592;Makro;1120.99;538.99;37
https://as1.ftcdn.net/jpg/02/64/03/68/500_F_264036820_Sv8fah7ThMVRJTocmWMJRD0hLlSCDRMW.jpg;Close Up  Macro of Newborn Baby Lips With Tiny Bubbles;Cavan Images;jpeg;4396x2931;1688x1126;Makro;1120.99;538.99;18
https://as2.ftcdn.net/jpg/01/78/04/91/500_F_178049143_rUFM4V9EuAL9OWN5eZm39k6crKdQkZGR.jpg;Fresh Blueberries Macro;Ryan Matthew Smith\Stocksy;jpeg;4977x3274;1700x1118;Makro;1120.99;538.99;12
https://as2.ftcdn.net/jpg/02/32/54/31/500_F_232543104_g475YPhKPalz1ELT9tNtLK6XMWKI00WX.jpg;New growth; tiny bud;Stocksy;jpeg;4800x3360;1648x1153;Makro;1120.99;538.99;60
https://as2.ftcdn.net/jpg/02/20/65/57/500_F_220655779_oc14gHdcXIyLCEH7kkxbBmvGvpO9JbXx.jpg;Shaved cucumber macro;The Picture Pantry;jpeg;3264x4928;1122x1694;Makro;1120.99;538.99;16
https://as2.ftcdn.net/jpg/02/72/49/29/500_F_272492919_X0H5zanjDOnjceayo2gshYNvnhICZxnx.jpg;Succulent plant in bloom;Marcel\Stocksy;jpeg;3000x4500;1125x1688;Makro;1120.99;538.99;10
https://as2.ftcdn.net/jpg/03/74/99/93/500_F_374999376_FEnhQxCIkVtzjNhVvxNsceIjaOghlq6r.jpg;Closeup Image Of Wire Whisks;Kelli Seeger Kim\Stocksy;jpeg;4513x3611;1541x1233;Makro;1120.99;538.99;62
https://as2.ftcdn.net/jpg/02/11/94/53/500_F_211945311_oXhWRz3u7CeAt3I1E2YB3mHvPvYOOts2.jpg;Serrate-legged small tree frog;WWC;jpeg;5315x3543;1688x1125;Makro;1120.99;538.99;37
https://as1.ftcdn.net/jpg/03/47/25/32/500_F_347253219_DgiDSBckDQQ1l0H0uOPiwDldOZQgF9kI.jpg;Honey Swirl ;Simi Jois;jpeg;6016x4016;1687x1126;Makro;2240.99;1120.99;24
https://as2.ftcdn.net/jpg/02/07/16/07/500_F_207160792_uykMU0G7NBQyG2z9IxYIjanOGyTJgksR.jpg;Close-up portrait of a Barking Owl  Western Australia  Australia;RooM The Agency;jpeg;5739x4000;1651x1151;Makro;1120.99;538.99;97
https://as2.ftcdn.net/jpg/03/90/21/77/500_F_390217761_7N1IS8bUo86lIvutBXdORlkRNS3C1o1z.jpg;Closeup of a lettuce head;Alexis Courtney\Stocksy;jpeg;5651x3768;1688x1126;Makro;1120.99;538.99;25
